date,region,wind_speed
2020-09-24,Nord,23.5
2020-09-24,Süd,14.4
2020-09-25,Nord,17.9
2020-09-25,Süd,18.4
2020-09-26,Nord,27.0
2020-09-26,Süd,30.0
2020-09-27,Nord,24.9
2020-09-27,Süd,23.3
2020-09-28,Nord,13.0
2020-09-28,Süd,9.4
2020-09-29,Nord,15.5
2020-09-29,Süd,18.1
2020-09-30,Nord,10.7
2020-09-30,Süd,9.7
2020-10-01,Nord,23.7
2020-10-01,Süd,9.7
2020-10-02,Nord,24.2
2020-10-02,Süd,19.4
2020-10-03,Nord,31.3
2020-10-03,Süd,27.6
2020-10-04,Nord,29.5
2020-10-04,Süd,15.7
2020-10-05,Nord,18.8
2020-10-05,Süd,19.2
2020-10-06,Nord,22.2
2020-10-06,Süd,17.6
2020-10-07,Nord,20.8
2020-10-07,Süd,25.1
2020-10-08,Nord,29.0
2020-10-08,Süd,17.4
2020-10-09,Nord,17.2
2020-10-09,Süd,13.5
2020-10-10,Nord,25.1
2020-10-10,Süd,14.3
2020-10-11,Nord,24.8
2020-10-11,Süd,9.3
2020-10-12,Nord,10.8
2020-10-12,Süd,14.0
2020-10-13,Nord,12.8
2020-10-13,Süd,10.1
2020-10-14,Nord,29.2
2020-10-14,Süd,13.9
2020-10-15,Nord,20.8
2020-10-15,Süd,10.5
2020-10-16,Nord,9.8
2020-10-16,Süd,12.6
2020-10-17,Nord,11.3
2020-10-17,Süd,9.3
2020-10-18,Nord,21.0
2020-10-18,Süd,10.9
2020-10-19,Nord,14.6
2020-10-19,Süd,10.6
2020-10-20,Nord,18.8
2020-10-20,Süd,9.5
2020-10-21,Nord,32.3
2020-10-21,Süd,10.1
2020-10-22,Nord,32.9
2020-10-22,Süd,10.6
2020-10-23,Nord,17.2
2020-10-23,Süd,12.9
2020-10-24,Nord,23.7
2020-10-24,Süd,19.1
2020-10-25,Nord,23.3
2020-10-25,Süd,9.7
2020-10-26,Nord,15.9
2020-10-26,Süd,20.2
2020-10-27,Nord,26.0
2020-10-27,Süd,13.3
2020-10-28,Nord,23.1
2020-10-28,Süd,13.0
2020-10-29,Nord,31.4
2020-10-29,Süd,26.1
2020-10-30,Nord,22.1
2020-10-30,Süd,22.4
2020-10-31,Nord,18.1
2020-10-31,Süd,9.8
2020-11-01,Nord,24.7
2020-11-01,Süd,18.1
2020-11-02,Nord,29.0
2020-11-02,Süd,18.9
2020-11-03,Nord,21.5
2020-11-03,Süd,14.4
2020-11-04,Nord,22.8
2020-11-04,Süd,15.1
2020-11-05,Nord,22.1
2020-11-05,Süd,11.8
2020-11-06,Nord,15.3
2020-11-06,Süd,10.3
2020-11-07,Nord,13.3
2020-11-07,Süd,9.0
2020-11-08,Nord,11.4
2020-11-08,Süd,8.9
2020-11-09,Nord,13.8
2020-11-09,Süd,9.0
2020-11-10,Nord,14.8
2020-11-10,Süd,5.6
2020-11-11,Nord,10.0
2020-11-11,Süd,9.4
2020-11-12,Nord,18.4
2020-11-12,Süd,10.9
2020-11-13,Nord,14.4
2020-11-13,Süd,9.4
2020-11-14,Nord,13.3
2020-11-14,Süd,11.0
2020-11-15,Nord,26.6
2020-11-15,Süd,12.4
2020-11-16,Nord,28.2
2020-11-16,Süd,25.3
2020-11-17,Nord,23.2
2020-11-17,Süd,12.0
2020-11-18,Nord,24.8
2020-11-18,Süd,9.7
2020-11-19,Nord,36.4
2020-11-19,Süd,22.1
2020-11-20,Nord,17.8
2020-11-20,Süd,19.8
2020-11-21,Nord,27.7
2020-11-21,Süd,10.0
2020-11-22,Nord,27.3
2020-11-22,Süd,8.2
2020-11-23,Nord,19.5
2020-11-23,Süd,11.0
2020-11-24,Nord,21.7
2020-11-24,Süd,11.3
2020-11-25,Nord,12.9
2020-11-25,Süd,6.3
2020-11-26,Nord,17.2
2020-11-26,Süd,7.6
2020-11-27,Nord,11.2
2020-11-27,Süd,9.7
2020-11-28,Nord,14.8
2020-11-28,Süd,15.2
2020-11-29,Nord,9.6
2020-11-29,Süd,15.4
2020-11-30,Nord,17.4
2020-11-30,Süd,9.0
2020-12-01,Nord,16.6
2020-12-01,Süd,13.0
2020-12-02,Nord,12.5
2020-12-02,Süd,11.0
2020-12-03,Nord,19.1
2020-12-03,Süd,11.4
2020-12-04,Nord,24.4
2020-12-04,Süd,24.4
2020-12-05,Nord,14.8
2020-12-05,Süd,16.9
2020-12-06,Nord,14.1
2020-12-06,Süd,12.7
2020-12-07,Nord,18.8
2020-12-07,Süd,11.9
2020-12-08,Nord,11.5
2020-12-08,Süd,11.7
2020-12-09,Nord,13.4
2020-12-09,Süd,15.6
2020-12-10,Nord,12.8
2020-12-10,Süd,11.2
