species,lat,lon,date,locId,locName,area_type
Great Tit,54.4727374,9.0710916,2026-02-06 15:06,L13443023,Mauseberge,urban
Eurasian Nuthatch,54.4727374,9.0710916,2026-02-06 15:06,L13443023,Mauseberge,urban
Eurasian Bullfinch,54.4727374,9.0710916,2026-02-06 15:06,L13443023,Mauseberge,urban
Eurasian Collared-Dove,53.6257232,10.8043969,2026-02-06 14:46,L23529943,Felder Sterley,rural
Common Crane,53.6257232,10.8043969,2026-02-06 14:46,L23529943,Felder Sterley,rural
Eurasian Kestrel,53.6257232,10.8043969,2026-02-06 14:46,L23529943,Felder Sterley,rural
Graylag Goose,54.6479861,8.8428307,2026-02-06 14:37,L12123986,Reußenköge,rural
Barnacle Goose,54.6479861,8.8428307,2026-02-06 14:37,L12123986,Reußenköge,rural
Mute Swan,54.6479861,8.8428307,2026-02-06 14:37,L12123986,Reußenköge,rural
Whooper Swan,54.6479861,8.8428307,2026-02-06 14:37,L12123986,Reußenköge,rural
Common Shelduck,54.6479861,8.8428307,2026-02-06 14:37,L12123986,Reußenköge,rural
Eurasian Curlew,54.6479861,8.8428307,2026-02-06 14:37,L12123986,Reußenköge,rural
Great Egret,54.6479861,8.8428307,2026-02-06 14:37,L12123986,Reußenköge,rural
Rough-legged Hawk,54.6479861,8.8428307,2026-02-06 14:37,L12123986,Reußenköge,rural
Greater White-fronted Goose,53.735529,10.746319,2026-02-06 14:35,L43883531,Buchholz,urban
Gray Heron,53.735529,10.746319,2026-02-06 14:35,L43883531,Buchholz,urban
Great Spotted Woodpecker,53.735529,10.746319,2026-02-06 14:35,L43883531,Buchholz,urban
Common Chaffinch,53.735529,10.746319,2026-02-06 14:35,L43883531,Buchholz,urban
Hawfinch,53.735529,10.746319,2026-02-06 14:35,L43883531,Buchholz,urban
Red-breasted Merganser,53.9822942,10.8818922,2026-02-06 14:03,L10576381,Brodtener Steilküste,rural
Great Crested Grebe,53.9822942,10.8818922,2026-02-06 14:03,L10576381,Brodtener Steilküste,rural
Ring-necked Pheasant,53.9069928,9.876194,2026-02-06 14:00,L57015348,"Bad Bramstedt, Schleswig-Holstein, DE",urban
Eurasian Jay,53.9069928,9.876194,2026-02-06 14:00,L57015348,"Bad Bramstedt, Schleswig-Holstein, DE",urban
European Starling,53.9069928,9.876194,2026-02-06 14:00,L57015348,"Bad Bramstedt, Schleswig-Holstein, DE",urban
Redwing,53.9069928,9.876194,2026-02-06 14:00,L57015348,"Bad Bramstedt, Schleswig-Holstein, DE",urban
European Greenfinch,53.9069928,9.876194,2026-02-06 14:00,L57015348,"Bad Bramstedt, Schleswig-Holstein, DE",urban
Eurasian Siskin,53.9069928,9.876194,2026-02-06 14:00,L57015348,"Bad Bramstedt, Schleswig-Holstein, DE",urban
Eurasian Wigeon,54.4255373,10.2869924,2026-02-06 13:16,L1033222,Bottsand (NSG),rural
Common Eider,54.4255373,10.2869924,2026-02-06 13:16,L1033222,Bottsand (NSG),rural
Common Redshank,54.4255373,10.2869924,2026-02-06 13:16,L1033222,Bottsand (NSG),rural
Eurasian Jackdaw,54.7932187,9.4242834,2026-02-06 10:36,L55833150,Jobcenter Flensburg,urban
Rock Pigeon,54.3036079,9.6591953,2026-02-06 10:08,L26643177,Stadtpark Rendsburg,rural
Common Gull,54.3036079,9.6591953,2026-02-06 10:08,L26643177,Stadtpark Rendsburg,rural
Water Rail,54.2439678,10.3431286,2026-02-06 10:04,L18113117,"Fuchsberg, Lehmkuhlen, Schleswig-Holstein, DE (54,244, 10,343)",rural
White-tailed Eagle,54.2439678,10.3431286,2026-02-06 10:04,L18113117,"Fuchsberg, Lehmkuhlen, Schleswig-Holstein, DE (54,244, 10,343)",rural
Common Raven,54.2439678,10.3431286,2026-02-06 10:04,L18113117,"Fuchsberg, Lehmkuhlen, Schleswig-Holstein, DE (54,244, 10,343)",rural
Coal Tit,54.2439678,10.3431286,2026-02-06 10:04,L18113117,"Fuchsberg, Lehmkuhlen, Schleswig-Holstein, DE (54,244, 10,343)",rural
Crested Tit,54.2439678,10.3431286,2026-02-06 10:04,L18113117,"Fuchsberg, Lehmkuhlen, Schleswig-Holstein, DE (54,244, 10,343)",rural
Goldcrest,54.2439678,10.3431286,2026-02-06 10:04,L18113117,"Fuchsberg, Lehmkuhlen, Schleswig-Holstein, DE (54,244, 10,343)",rural
Eurasian Treecreeper,54.2439678,10.3431286,2026-02-06 10:04,L18113117,"Fuchsberg, Lehmkuhlen, Schleswig-Holstein, DE (54,244, 10,343)",rural
Short-toed Treecreeper,54.2439678,10.3431286,2026-02-06 10:04,L18113117,"Fuchsberg, Lehmkuhlen, Schleswig-Holstein, DE (54,244, 10,343)",rural
Canada Goose,54.4598748,9.9267038,2026-02-06 08:25,L8426619,Aschauer Lagune,rural
Rook,53.963773,10.877164,2026-02-07 18:06,L58252127,"Kurpark Calvarienberg, Lübeck DE-Schleswig-Holstein (53.9638,10.8772)",urban
Smew,54.5119306,9.5413553,2026-02-07 16:08,L16233137,"Museumsinsel Schloss Gottorf, Schleswig",rural
Eurasian Blue Tit,54.7469113,9.4634607,2026-02-07 15:40,L50856462,Wielenberg,urban
Great Tit,54.7469113,9.4634607,2026-02-07 15:40,L50856462,Wielenberg,urban
Eurasian Tree Sparrow,54.7469113,9.4634607,2026-02-07 15:40,L50856462,Wielenberg,urban
Common Chaffinch,54.7469113,9.4634607,2026-02-07 15:40,L50856462,Wielenberg,urban
Mallard,54.825144,9.420877,2026-02-07 15:22,L14936746,Strandbad Wassersleben,urban
Common Goldeneye,54.825144,9.420877,2026-02-07 15:22,L14936746,Strandbad Wassersleben,urban
Common Gull,54.825144,9.420877,2026-02-07 15:22,L14936746,Strandbad Wassersleben,urban
European Herring Gull,54.825144,9.420877,2026-02-07 15:22,L14936746,Strandbad Wassersleben,urban
Great Black-backed Gull,54.825144,9.420877,2026-02-07 15:22,L14936746,Strandbad Wassersleben,urban
Lesser Black-backed Gull,54.825144,9.420877,2026-02-07 15:22,L14936746,Strandbad Wassersleben,urban
