date,region,wind_speed,species,count,obs_freq
2020-05-20,Süd,,Mallard,8,1
2020-05-20,Süd,,Tufted Duck,4,1
2020-05-21,Nord,,Mallard,20,1
2020-05-21,Nord,,Tufted Duck,2,1
2020-05-21,Süd,,Mallard,3,1
2020-05-21,Süd,,Eurasian Wigeon,3,1
2020-05-21,Süd,,Tufted Duck,3,1
2020-05-22,Nord,,Mallard,1,1
2020-05-22,Nord,,Tufted Duck,2,1
2020-05-22,Süd,,Mallard,1,1
2020-05-22,Süd,,Eurasian Wigeon,2,1
2020-05-22,Süd,,Tufted Duck,6,1
2020-05-23,Nord,,Mallard,7,1
2020-05-23,Nord,,Tufted Duck,1,1
2020-05-23,Süd,,Mallard,6,1
2020-05-23,Süd,,Tufted Duck,50,1
2020-05-24,Süd,,Mallard,1,1
2020-05-24,Süd,,Tufted Duck,1,1
2020-05-25,Nord,,Mallard,5,1
2020-05-25,Süd,,Mallard,2,1
2020-05-25,Süd,,Tufted Duck,1,1
2020-05-26,Süd,,Mallard,4,1
2020-05-26,Süd,,Tufted Duck,16,1
2020-05-27,Süd,,Mallard,1,1
2020-05-27,Süd,,Tufted Duck,1,1
2020-05-28,Nord,,Mallard,6,1
2020-05-28,Süd,,Mallard,2,1
2020-05-28,Süd,,Tufted Duck,1,1
2020-05-29,Nord,,Tufted Duck,2,1
2020-05-29,Süd,,Mallard,1,1
2020-05-29,Süd,,Tufted Duck,1,1
2020-05-30,Süd,,Mallard,6,1
2020-05-30,Süd,,Tufted Duck,4,1
2020-05-31,Süd,,Mallard,2,1
2020-05-31,Süd,,Eurasian Wigeon,2,1
2020-05-31,Süd,,Tufted Duck,4,1
2020-06-01,Süd,,Mallard,4,1
2020-06-01,Süd,,Tufted Duck,2,1
2020-06-02,Nord,,Mallard,2,1
2020-06-02,Nord,,Tufted Duck,6,1
2020-06-02,Süd,,Mallard,1,1
2020-06-02,Süd,,Tufted Duck,1,1
2020-06-03,Süd,,Mallard,1,1
2020-06-03,Süd,,Tufted Duck,1,1
2020-06-04,Nord,,Mallard,8,1
2020-06-04,Süd,,Mallard,3,1
2020-06-05,Nord,,Mallard,1,1
2020-06-05,Nord,,Tufted Duck,2,1
2020-06-05,Süd,,Mallard,1,1
2020-06-05,Süd,,Tufted Duck,1,1
2020-06-06,Süd,,Mallard,3,1
2020-06-06,Süd,,Tufted Duck,2,1
2020-06-07,Nord,,Mallard,39,1
2020-06-07,Nord,,Tufted Duck,6,1
2020-06-07,Süd,,Mallard,1,1
2020-06-07,Süd,,Tufted Duck,1,1
2020-06-08,Nord,,Mallard,2,1
2020-06-08,Süd,,Mallard,9,1
2020-06-08,Süd,,Tufted Duck,2,1
2020-06-09,Nord,,Mallard,58,1
2020-06-09,Nord,,Tufted Duck,41,1
2020-06-09,Süd,,Mallard,20,1
2020-06-09,Süd,,Tufted Duck,20,1
2020-06-10,Süd,,Mallard,1,1
2020-06-10,Süd,,Tufted Duck,8,1
2020-06-11,Süd,,Mallard,3,1
2020-06-11,Süd,,Tufted Duck,2,1
2020-06-12,Nord,,Mallard,9,1
2020-06-12,Nord,,Tufted Duck,10,1
2020-06-12,Süd,,Mallard,7,1
2020-06-12,Süd,,Tufted Duck,2,1
2020-06-13,Süd,,Mallard,5,1
2020-06-13,Süd,,Tufted Duck,36,1
2020-06-14,Süd,,Mallard,10,1
2020-06-14,Süd,,Tufted Duck,2,1
