date,pm2_5_mean,no2_mean,error
2024-06-22,3.421200000000001,4.7852,
2024-06-23,5.654799999999999,6.587200000000001,
2024-06-24,3.3715999999999995,7.565999999999998,
2024-06-25,4.9556000000000004,8.0516,
2024-06-26,6.780400000000001,6.722799999999999,
2024-06-27,7.3992,19.8028,
2024-06-28,5.900400000000001,9.971200000000003,
2024-06-29,7.200000000000001,10.573200000000002,
2024-06-30,3.9316000000000004,4.569599999999999,
,,,empty
,,,empty
,,,empty
2025-04-04,20.794583333333332,15.635416666666666,
2025-04-05,3.47,9.42,
2025-04-06,1.2820833333333332,3.750833333333334,
2025-04-07,3.7892000000000006,7.484000000000001,
2025-04-08,7.2863999999999995,10.883199999999999,
2025-04-09,10.736399999999998,9.7552,
2025-04-10,4.365199999999999,4.4252,
2025-04-11,7.3744000000000005,3.979199999999999,
2025-04-12,9.987200000000001,4.457599999999999,
2025-04-13,5.2964,4.198799999999999,
2025-04-14,1.9572,5.786399999999999,
2025-04-15,3.9691999999999985,4.5656,
2025-04-16,5.8564000000000025,4.4152,
2025-04-17,8.5136,5.333200000000001,
2025-04-18,5.2303999999999995,6.0084,
2025-04-19,3.99,4.65,
2025-04-20,10.590416666666664,6.282916666666665,
2025-04-21,6.853200000000002,7.46,
2025-04-22,4.056399999999999,7.412000000000002,
2025-04-23,5.339200000000001,7.160399999999999,
2025-04-24,5.599200000000001,4.566,
2025-04-25,3.7796,4.645199999999999,
2025-04-26,3.6487999999999996,2.8531999999999993,
2025-04-27,8.1976,3.5696000000000003,
2025-04-28,15.723199999999999,7.543600000000001,
2025-04-29,19.3076,8.033600000000002,
2025-04-30,8.2824,6.9736,
2025-05-01,6.372800000000002,6.093999999999999,
2025-05-02,9.028400000000001,5.768000000000001,
2025-05-03,9.5944,5.124,
2025-05-04,1.8928000000000003,2.3811999999999998,
2025-05-05,1.2447999999999997,3.1784000000000003,
2025-05-06,3.2488000000000006,5.0184,
2025-05-07,2.4535999999999993,3.9884,
2025-05-08,2.0804,3.9463999999999992,
2025-05-09,3.8276,7.377600000000002,
2025-05-10,4.531999999999999,3.6136,
2025-05-11,1.8455999999999997,2.746800000000001,
2025-05-12,3.2396000000000003,3.1120000000000005,
2025-05-13,5.357200000000001,5.561600000000001,
2025-05-14,6.837599999999998,4.506799999999999,
2025-05-15,1.2671999999999999,1.712,
2025-05-16,1.1247999999999998,2.9375999999999998,
2025-05-17,1.3439999999999994,2.468,
2025-05-18,0.7563999999999999,1.7464,
2025-05-19,1.0592,2.903599999999999,
2025-05-20,3.481199999999999,5.8524,
2025-05-21,4.1604,4.154,
2025-05-22,1.8651999999999997,2.3171999999999993,
2025-05-23,0.8563999999999997,2.654,
2025-05-24,2.3923999999999994,3.3695999999999997,
2025-05-25,2.158799999999999,2.6743999999999994,
2025-05-26,1.768,3.0267999999999997,
2025-05-27,2.3548,3.483200000000001,
2025-05-28,0.6955999999999999,3.6675999999999997,
2025-05-29,2.4364,2.7064,
2025-05-30,2.8276,3.5328000000000004,
2025-05-31,3.1624,3.729199999999999,
2025-06-01,1.7904,2.8748,
