Date,Region,Max_Temp
2023-04-29,Nord,14.5
2023-04-29,Süd,17.5
2023-04-30,Nord,12.7
2023-04-30,Süd,15.1
2024-03-01,Nord,12.3
2024-03-01,Süd,10.4
2024-03-02,Nord,13.1
2024-03-02,Süd,12.4
2024-03-03,Nord,13.3
2024-03-03,Süd,17.1
2024-03-04,Nord,13.4
2024-03-04,Süd,9.5
2024-03-05,Nord,8.4
2024-03-05,Süd,9.1
2024-03-06,Nord,7.6
2024-03-06,Süd,5.2
2024-03-07,Nord,7.6
2024-03-07,Süd,7.2
2024-03-08,Nord,7.9
2024-03-08,Süd,9.6
2024-03-09,Nord,9.8
2024-03-09,Süd,15.3
2024-03-10,Nord,11.8
2024-03-10,Süd,17.5
2024-03-11,Nord,10.6
2024-03-11,Süd,11.6
2024-03-12,Nord,11.1
2024-03-12,Süd,8.9
2024-03-13,Nord,11.6
2024-03-13,Süd,10.4
2024-03-14,Nord,16.2
2024-03-14,Süd,15.1
2024-03-15,Nord,15.1
2024-03-15,Süd,15.9
2024-03-16,Nord,10.1
2024-03-16,Süd,13.2
2024-03-17,Nord,8.8
2024-03-17,Süd,13.9
2024-03-18,Nord,8.6
2024-03-18,Süd,11.2
2024-03-19,Nord,11.4
2024-03-19,Süd,13.6
2024-03-20,Nord,15.2
2024-03-20,Süd,16.4
2024-03-21,Nord,11.2
2024-03-21,Süd,12.6
2024-03-22,Nord,11.2
2024-03-22,Süd,16.6
2024-03-23,Nord,9.0
2024-03-23,Süd,13.6
2024-03-24,Nord,8.2
2024-03-24,Süd,7.0
2024-03-25,Nord,9.4
2024-03-25,Süd,10.0
2024-03-26,Nord,12.4
2024-03-26,Süd,16.0
2024-03-27,Nord,16.7
2024-03-27,Süd,19.9
2024-03-28,Nord,12.7
2024-03-28,Süd,12.8
2024-03-29,Nord,12.2
2024-03-29,Süd,20.5
2024-03-30,Nord,20.1
2024-03-30,Süd,21.7
2024-03-31,Nord,13.8
2024-03-31,Süd,19.4
2024-04-01,Nord,11.9
2024-04-01,Süd,13.3
2024-04-02,Nord,12.4
2024-04-02,Süd,12.0
2024-04-03,Nord,10.1
2024-04-03,Süd,12.9
2024-04-04,Nord,12.2
2024-04-04,Süd,17.3
2024-04-05,Nord,16.3
2024-04-05,Süd,22.0
2024-04-06,Nord,22.0
2024-04-06,Süd,24.9
2024-04-07,Nord,20.4
2024-04-07,Süd,25.0
2024-04-08,Nord,19.8
2024-04-08,Süd,28.0
2024-04-09,Nord,18.1
2024-04-09,Süd,19.8
2024-04-10,Nord,13.6
2024-04-10,Süd,10.9
2024-04-11,Nord,14.4
2024-04-11,Süd,15.1
2024-04-12,Nord,19.3
2024-04-12,Süd,18.5
2024-04-13,Nord,20.4
2024-04-13,Süd,23.0
2024-04-14,Nord,16.2
2024-04-14,Süd,23.8
2024-04-15,Nord,13.1
2024-04-15,Süd,16.9
2024-04-16,Nord,9.4
2024-04-16,Süd,10.0
2024-04-17,Nord,10.9
2024-04-17,Süd,7.4
2024-04-18,Nord,11.2
2024-04-18,Süd,7.2
2024-04-19,Nord,10.2
2024-04-19,Süd,7.2
2024-04-20,Nord,8.6
2024-04-20,Süd,7.2
2024-04-21,Nord,9.3
2024-04-21,Süd,4.9
2024-04-22,Nord,7.3
2024-04-22,Süd,6.4
2024-04-23,Nord,8.8
2024-04-23,Süd,4.2
2024-04-24,Nord,7.4
