date,status,observation_count,sum_howMany_birds,pm2_5_mean,no2_mean,diff_howMany,diff_pm2_5_mean,diff_no2_mean
2025-04-18,200,43,60.0,5.2304,6.0084,-88.0,-3.2832,0.6751999999999994
2025-04-19,200,33,145.0,3.99,4.65,85.0,-1.2404000000000002,-1.3583999999999996
2025-04-20,200,86,233.0,10.590416666666664,6.282916666666665,88.0,6.600416666666664,1.6329166666666648
2025-04-21,200,65,189.0,6.853200000000002,7.46,-44.0,-3.7372166666666624,1.1770833333333348
2025-04-22,200,76,202.0,4.056399999999999,7.412000000000002,13.0,-2.796800000000003,-0.047999999999998266
2025-04-23,200,103,269.0,5.339200000000001,7.160399999999999,67.0,1.2828000000000017,-0.2516000000000025
2025-04-24,200,76,208.0,5.599200000000001,4.566,-61.0,0.2599999999999998,-2.5943999999999994
2025-04-25,200,76,249.0,3.7796,4.645199999999999,41.0,-1.8196000000000008,0.07919999999999927
2025-04-26,200,90,299.0,3.6488,2.8531999999999997,50.0,-0.1307999999999998,-1.7919999999999994
2025-04-27,200,80,138.0,8.1976,3.5696000000000003,-161.0,4.5488,0.7164000000000006
2025-04-28,200,82,228.0,15.7232,7.543600000000001,90.0,7.525600000000001,3.974000000000001
2025-04-29,200,57,130.0,19.3076,8.033600000000002,-98.0,3.5844000000000005,0.4900000000000002
2025-04-30,200,51,103.0,8.2824,6.9736,-27.0,-11.0252,-1.0600000000000014
2025-05-01,200,83,253.0,6.372800000000002,6.093999999999999,150.0,-1.9095999999999993,-0.8796000000000008
2025-05-02,200,69,156.0,9.0284,5.768000000000001,-97.0,2.655599999999998,-0.32599999999999874
2025-05-03,200,127,205.0,9.5944,5.124,49.0,0.5660000000000007,-0.644000000000001
2025-05-04,200,98,370.0,1.8928000000000005,2.3812,165.0,-7.7016,-2.7427999999999995
2025-05-05,200,53,135.0,1.2447999999999997,3.1784000000000003,-235.0,-0.6480000000000008,0.7972000000000001
2025-05-06,200,67,251.0,3.248800000000001,5.0184,116.0,2.0040000000000013,1.8399999999999994
2025-05-07,200,61,158.0,2.4536,3.9884,-93.0,-0.7952000000000012,-1.0299999999999998
2025-05-08,200,103,390.0,2.0804,3.9463999999999992,232.0,-0.37319999999999975,-0.0420000000000007
2025-05-09,200,75,140.0,3.8276,7.377600000000002,-250.0,1.7471999999999999,3.4312000000000027
2025-05-10,200,99,220.0,4.531999999999999,3.6136,80.0,0.7043999999999992,-3.764000000000002
2025-05-11,200,71,174.0,1.8456,2.746800000000001,-46.0,-2.686399999999999,-0.8667999999999991
2025-05-12,200,32,81.0,3.2396000000000003,3.1120000000000005,-93.0,1.3940000000000003,0.36519999999999975
2025-05-13,200,49,106.0,5.357200000000001,5.561600000000001,25.0,2.1176000000000004,2.4496000000000007
2025-05-14,200,30,109.0,6.837599999999998,4.506799999999999,3.0,1.4803999999999977,-1.054800000000002
