Date,Region,Total_Amount
2022/08/19,DE-HH,34
2022/08/20,DE-HH,177
2022/08/21,DE-HH,3
2022/08/22,DE-HH,25
2022/08/23,DE-HH,6
2022/08/24,DE-HH,32
2022/08/25,DE-HH,6
2022/08/26,DE-HH,99
2022/08/27,DE-HH,95
2022/08/28,DE-HH,82
2022/08/29,DE-HH,47
2022/08/30,DE-HH,95
2022/08/31,DE-HH,3
2022/09/01,DE-HH,81
2022/09/02,DE-HH,76
2022/09/03,DE-HH,8
2022/09/04,DE-HH,66
2022/09/05,DE-HH,57
2022/09/06,DE-HH,41
2022/09/07,DE-HH,5
2022/09/08,DE-HH,56
2022/09/09,DE-HH,3
2022/09/10,DE-HH,182
2022/09/11,DE-HH,3608
2022/09/12,DE-HH,659
2022/09/13,DE-HH,25
2022/09/14,DE-HH,698
2022/09/15,DE-HH,43
2022/09/16,DE-HH,6
2022/09/17,DE-HH,35
2022/09/18,DE-HH,106
2022/09/19,DE-HH,10
2022/09/20,DE-HH,87
2022/09/21,DE-HH,33
2022/09/22,DE-HH,2
2022/09/23,DE-HH,0
2022/09/24,DE-HH,817
2022/09/25,DE-HH,143
2022/09/26,DE-HH,0
2022/09/27,DE-HH,6
2022/09/28,DE-HH,2
2022/09/29,DE-HH,37
2022/09/30,DE-HH,9
2022/10/01,DE-HH,1
2022/10/02,DE-HH,33
2022/10/03,DE-HH,22
2022/10/04,DE-HH,50
2022/10/05,DE-HH,23
2022/10/06,DE-HH,1
2022/10/07,DE-HH,676
2022/10/08,DE-HH,19
2022/10/09,DE-HH,91
2022/10/10,DE-HH,104
2022/10/11,DE-HH,6
2022/10/12,DE-HH,2337
2022/10/13,DE-HH,253
2022/10/14,DE-HH,0
2022/10/15,DE-HH,3
2022/10/16,DE-HH,80
2022/10/17,DE-HH,553
2022/10/18,DE-HH,180
2022/10/19,DE-HH,10
2022/10/20,DE-HH,93
2022/10/21,DE-HH,1716
2022/10/22,DE-HH,0
2022/10/23,DE-HH,15
2022/10/24,DE-HH,104
2022/10/25,DE-HH,0
2022/10/26,DE-HH,285
2022/10/27,DE-HH,0
2022/10/28,DE-HH,0
2022/10/29,DE-HH,2944
2022/10/30,DE-HH,73
2022/10/31,DE-HH,77
2022/11/01,DE-HH,36
2022/11/02,DE-HH,70
2022/11/03,DE-HH,11
2022/11/04,DE-HH,5
2022/11/05,DE-HH,17
2022/11/06,DE-HH,5
2022/11/07,DE-HH,9
2022/11/08,DE-HH,18
2022/11/09,DE-HH,13
2022/11/10,DE-HH,67
2022/11/11,DE-HH,37
2022/11/12,DE-HH,27
2022/11/13,DE-HH,56
2022/11/14,DE-HH,5
2022/11/15,DE-HH,19
2022/11/16,DE-HH,0
2022/11/17,DE-HH,0
2022/11/18,DE-HH,0
2022/11/19,DE-HH,77
2022/11/20,DE-HH,117
2022/11/21,DE-HH,4
2022/11/22,DE-HH,0
2022/11/23,DE-HH,3
2022/11/24,DE-HH,174
2022/11/25,DE-HH,4
2022/11/26,DE-HH,4
2022/11/27,DE-HH,57
2022/11/28,DE-HH,6
2022/11/29,DE-HH,19
2022/11/30,DE-HH,32
2022/12/01,DE-HH,56
2022/12/02,DE-HH,15
2022/12/03,DE-HH,0
2022/12/04,DE-HH,87
2022/12/05,DE-HH,109
2022/12/06,DE-HH,33
2022/12/07,DE-HH,124
2022/12/08,DE-HH,0
2022/12/09,DE-HH,0
2022/12/10,DE-HH,0
2022/12/11,DE-HH,28
2022/12/12,DE-HH,0
2022/12/13,DE-HH,0
2022/12/14,DE-HH,2
2022/12/15,DE-HH,0
2022/12/16,DE-HH,69
2022/12/17,DE-HH,189
2022/12/18,DE-HH,81
2022/12/19,DE-HH,0
2022/12/20,DE-HH,0
2022/12/21,DE-HH,4
2022/12/22,DE-HH,94
2022/12/23,DE-HH,777
2022/12/24,DE-HH,28
2022/12/25,DE-HH,159
2022/12/26,DE-HH,135
2022/12/27,DE-HH,84
2022/12/28,DE-HH,14
2022/12/29,DE-HH,421
2022/12/30,DE-HH,84
2022/12/31,DE-HH,218
2023/01/01,DE-HH,193
2023/01/02,DE-HH,202
2023/01/03,DE-HH,78
2023/01/04,DE-HH,26
2023/01/05,DE-HH,184
2023/01/06,DE-HH,22
2023/01/07,DE-HH,211
2023/01/08,DE-HH,122
2023/01/09,DE-HH,132
2023/01/10,DE-HH,22
2023/01/11,DE-HH,2
2023/01/12,DE-HH,4
2023/01/13,DE-HH,27
2023/01/14,DE-HH,0
2023/01/15,DE-HH,82
2023/01/16,DE-HH,27
2023/01/17,DE-HH,25
2023/01/18,DE-HH,0
2023/01/19,DE-HH,16
2023/01/20,DE-HH,18
2023/01/21,DE-HH,192
2023/01/22,DE-HH,1
2023/01/23,DE-HH,0
2023/01/24,DE-HH,1
2023/01/25,DE-HH,0
2023/01/26,DE-HH,20
2023/01/27,DE-HH,0
2023/01/28,DE-HH,2
2023/01/29,DE-HH,0
2023/01/30,DE-HH,0
2023/01/31,DE-HH,0
2023/02/01,DE-HH,20
2023/02/02,DE-HH,293
2023/02/03,DE-HH,1
2023/02/04,DE-HH,30
2023/02/05,DE-HH,93
2023/02/06,DE-HH,163
2023/02/07,DE-HH,257
2023/02/08,DE-HH,153
2023/02/09,DE-HH,158
2023/02/10,DE-HH,114
2023/02/11,DE-HH,199
2023/02/12,DE-HH,195
2023/02/13,DE-HH,207
2023/02/14,DE-HH,147
2023/02/15,DE-HH,1
2023/02/16,DE-HH,195
2023/02/17,DE-HH,29
2023/02/18,DE-HH,64
2023/02/19,DE-HH,89
2023/02/20,DE-HH,0
2023/02/21,DE-HH,0
2023/02/22,DE-HH,187
2023/02/23,DE-HH,263
2023/02/24,DE-HH,27
2023/02/25,DE-HH,285
2023/02/26,DE-HH,253
2023/02/27,DE-HH,116
2023/02/28,DE-HH,9
2023/03/01,DE-HH,322
2023/03/02,DE-HH,179
2023/03/03,DE-HH,288
2023/03/04,DE-HH,146
2023/03/05,DE-HH,0
2023/03/06,DE-HH,0
2023/03/07,DE-HH,259
2023/03/08,DE-HH,43
2023/03/09,DE-HH,22
2023/03/10,DE-HH,3
2023/03/11,DE-HH,507
2023/03/12,DE-HH,171
2023/03/13,DE-HH,110
2023/03/14,DE-HH,167
2023/03/15,DE-HH,105
2023/03/16,DE-HH,121
2023/03/17,DE-HH,229
2023/03/18,DE-HH,165
2023/03/19,DE-HH,482
2023/03/20,DE-HH,0
2023/03/21,DE-HH,168
2023/03/22,DE-HH,113
2023/03/23,DE-HH,172
2023/03/24,DE-HH,270
2023/03/25,DE-HH,138
2023/03/26,DE-HH,202
2023/03/27,DE-HH,92
2023/03/28,DE-HH,155
2023/03/29,DE-HH,156
2023/03/30,DE-HH,506
2023/03/31,DE-HH,115
2023/04/01,DE-HH,114
2023/04/02,DE-HH,738
2023/04/03,DE-HH,1142
2023/04/04,DE-HH,306
2023/04/05,DE-HH,74
2023/04/06,DE-HH,119
2023/04/07,DE-HH,689
2023/04/08,DE-HH,167
2023/04/09,DE-HH,204
2023/04/10,DE-HH,4050
2023/04/11,DE-HH,4676
2023/04/12,DE-HH,112
2023/04/13,DE-HH,45
2023/04/14,DE-HH,11
2023/04/15,DE-HH,74
2023/04/16,DE-HH,218
2023/04/17,DE-HH,122
2023/04/18,DE-HH,178
