,Date,Region,Total_Amount,PM2.5_mean,PM2.5_var,PM2.5_min,PM2.5_max,PM10_mean,PM10_var,PM10_min,PM10_max
1079,2023-12-20,DE-HH,0,1.0108333333333337,0.117077536231884,0.58,1.81,1.9808333333333328,1.5919384057971022,0.95,4.89
1080,2023-12-21,DE-HH,0,1.034166666666667,0.0522862318840579,0.73,1.48,1.684583333333333,0.4718867753623187,0.85,3.73
1081,2023-12-22,DE-HH,286,0.6570833333333334,0.0169432971014492,0.5,0.97,1.6720833333333334,0.5271041666666664,0.73,3.73
1082,2023-12-23,DE-HH,46,0.9575,0.2962456521739129,0.5,2.06,1.319583333333333,0.3234302536231884,0.71,2.41
1083,2023-12-24,DE-HH,153,1.62125,0.2465070652173911,0.99,2.61,2.01,0.3064956521739127,1.23,2.86
1084,2023-12-25,DE-HH,242,1.528333333333333,0.209031884057971,0.93,2.56,3.6466666666666665,0.9393362318840576,2.35,5.06
1085,2023-12-26,DE-HH,122,1.12625,0.0986418478260869,0.66,1.55,2.1354166666666665,1.2187563405797104,0.99,4.91
1086,2023-12-27,DE-HH,187,5.027916666666667,10.80751286231884,0.74,10.56,6.922499999999999,15.02015,1.97,13.8
1087,2023-12-28,DE-HH,144,2.50375,0.9387548913043476,1.46,5.53,3.859583333333333,0.6331259057971014,2.47,6.22
1088,2023-12-29,DE-HH,201,0.9154166666666668,0.0942867753623188,0.56,1.57,1.3166666666666669,0.3633710144927536,0.68,2.76
1089,2023-12-30,DE-HH,0,1.47875,1.702089673913043,0.52,6.5,2.33875,1.636107065217392,0.97,7.4
1090,2023-12-31,DE-HH,246,2.66125,3.915567934782609,0.98,7.71,3.2062500000000003,5.13264184782609,1.42,8.89
1091,2024-01-01,DE-HH,68,1.03,0.2811739130434782,0.65,2.86,1.41625,0.5087635869565217,0.86,3.85
1092,2024-01-02,DE-HH,4133,3.8,9.272095652173917,1.0,11.29,4.27625,10.986937500000003,1.15,12.1
1093,2024-01-03,DE-HH,32,0.7566666666666667,0.0408057971014492,0.5,1.38,0.9875,0.0518630434782608,0.67,1.52
1094,2024-01-04,DE-HH,351,1.31375,0.4284331521739131,0.5,2.46,1.7479166666666668,0.5420432971014495,0.77,3.08
1095,2024-01-05,DE-HH,22,2.2045833333333333,0.1046867753623188,1.57,2.71,2.45375,0.1127027173913043,1.75,2.94
1096,2024-01-06,DE-HH,54,2.3541666666666665,0.5118601449275364,1.07,3.42,2.535833333333333,0.4510949275362321,1.38,3.6
1097,2024-01-07,DE-HH,214,1.8733333333333333,0.777927536231884,0.63,3.08,2.294583333333333,1.0547998188405796,0.83,3.65
1098,2024-01-08,DE-HH,82,1.9216666666666664,0.6615101449275365,0.77,3.72,2.30875,0.9402635869565222,0.93,4.38
1099,2024-01-09,DE-HH,59,3.575,0.00125,3.55,3.6,4.21,0.0032,4.17,4.25
1100,2024-01-10,DE-HH,35,21.63090909090909,58.981037229437256,13.86,42.27,23.519090909090902,73.00228484848488,14.46,45.94
1101,2024-01-11,DE-HH,49,20.15791666666667,169.90790416666664,5.12,46.93,23.24,168.36066956521748,8.41,49.88
